final,all,review_id
1,"[1, 1, 1, 1, 1]",214942
1,"[1, 1, 1, 1, 1]",214943
2,"[2, 5, -1, 1, 2]",214944
3,"[5, 3, 2, 3, -1]",214945
1,"[1, 1, 1, 1, 1]",214946
2,"[1, 2, 1, 2, 3]",214947
3,"[3, 3, 3, 3, 2]",214948
1,"[1, 1, 1, 1, 1]",214949
3,"[3, 6, 2, 1, 4]",214950
1,"[1, 1, 1, 1, 1]",214951
3,"[5, 2, 1, 2, 3]",214952
1,"[2, 1, 1, 1, 2]",214953
3,"[3, 3, 3, 3, 5]",214954
1,"[1, 1, 1, 2, 1]",214955
1,"[1, 1, 1, 1, 1]",214956
1,"[1, 1, 1, 2, 1]",214957
1,"[1, 1, 1, 1, 1]",214958
3,"[3, 3, 4, 3, 3]",214959
1,"[1, 1, 1, 1, 1]",214960
1,"[1, 1, 1, 1, 1]",214961
1,"[2, 1, 1, 1, 2]",214962
2,"[2, 2, 2, 2, 2]",214963
1,"[1, 1, 1, 1, 2]",214964
2,"[1, 2, 1, 2, 2]",214965
2,"[2, 2, 2, 2, 2]",214966
2,"[1, 1, 2, 2, 2]",214967
1,"[1, 1, 1, 1, 1]",214968
6,"[6, 5, 6, 6, 5]",214969
3,"[3, 4, 3, 3, 3]",214970
2,"[2, 2, 3, 2, 2]",214971
1,"[1, 1, 1, 1, 1]",214972
3,"[3, 3, 3, 3, 3]",214973
2,"[2, 3, 3, 2, 2]",214974
3,"[4, 4, 3, 2, 3]",214975
1,"[1, 1, 1, 1, 1]",214976
1,"[1, 1, 1, 1, 1]",214977
1,"[1, 1, 1, 2, 1]",214978
2,"[2, 3, 2, 2, 3]",214979
1,"[1, 2, 1, 1, 1]",214980
2,"[2, 1, 2, 1, 3]",214981
2,"[3, 3, 1, 1, 1]",214982
3,"[3, 4, 3, 3, 4]",214983
1,"[1, 1, 1, 1, 1]",214984
1,"[1, 1, 1, 1, 1]",214985
1,"[1, 1, 1, 1, 1]",214986
1,"[1, 1, 1, 1, 1]",214987
3,"[4, 2, 2, 2, 3]",214988
1,"[1, 1, 1, 1, 1]",214989
2,"[3, 3, 3, 1, 2]",214990
1,"[1, 1, 1, 1, 1]",214991
1,"[1, 1, 1, 1, 1]",214992
5,"[4, 6, 6, 4, 4]",214993
4,"[4, 4, 4, 4, 3]",214994
2,"[3, 2, 2, 1, 3]",214995
1,"[1, 1, 2, 1, 1]",214996
1,"[1, 1, 1, 1, 1]",214997
1,"[1, 1, 1, 1, 2]",214998
1,"[1, 1, 1, 1, 1]",214999
1,"[2, 1, 1, 1, 1]",215000
1,"[1, 1, 1, 1, 1]",215001
1,"[1, 1, 1, 2, 1]",215002
1,"[1, 1, 1, 1, 1]",215003
1,"[1, 1, 2, 1, 1]",215004
1,"[2, 1, 2, 1, 1]",215005
1,"[1, 1, 1, 1, 1]",215006
1,"[1, 1, 2, 1, 1]",215007
2,"[2, 3, 1, 3, 2]",215008
3,"[3, 3, 4, 3, 3]",215009
1,"[1, 1, 1, 1, 1]",215010
3,"[4, 3, 4, 2, 3]",215011
2,"[2, 2, 3, 1, 1]",215012
1,"[1, 1, 1, 1, 1]",215013
5,"[4, 5, 5, 5, 5]",215014
3,"[2, 3, 3, 2, 3]",215015
1,"[1, 1, 1, 1, 1]",215016
1,"[2, 1, 1, 1, 1]",215017
1,"[1, 1, 1, 1, 1]",215018
1,"[1, 1, 3, 1, 1]",215019
1,"[1, 1, 1, 1, 1]",215020
1,"[1, 1, 1, 1, 1]",215021
1,"[2, 1, 1, 1, 1]",215022
1,"[1, 2, 1, 1, 2]",215023
3,"[3, 3, 3, 3, 3]",215024
1,"[1, 1, 1, 1, 1]",215025
2,"[3, 1, 3, 2, 2]",215026
2,"[2, 1, 5, 1, 1]",215027
4,"[4, 4, 4, 4, 4]",215028
3,"[5, 1, 3, 2, 3]",215029
2,"[1, 2, 2, 2, 2]",215030
1,"[1, 1, 1, 1, 1]",215031
4,"[4, 4, 5, 4, 5]",215032
1,"[1, 1, 1, 1, 1]",215033
3,"[4, 3, 3, 3, 3]",215034
3,"[3, 4, 3, 4, 3]",215035
1,"[1, 1, 1, 1, 1]",215036
1,"[1, 1, 1, 1, 1]",215037
2,"[2, 2, 3, 1, 2]",215038
3,"[3, 3, 3, 3, 3]",215039
2,"[3, 2, 2, 2, 2]",215040
1,"[2, 1, 1, 1, 1]",215041
3,"[3, 3, 3, 3, 3]",215042
3,"[3, 4, 1, 3, 2]",215043
1,"[1, 1, 1, 1, 1]",215044
2,"[2, 2, 3, 2, 3]",215045
3,"[2, 2, 4, 3, 3]",215046
3,"[2, 2, 5, 2, 2]",215047
4,"[5, 3, 4, 4, 4]",215048
1,"[1, 2, 1, 2, 1]",215049
2,"[3, 2, 1, 1, 1]",215050
1,"[1, 2, 1, 2, 1]",215051
1,"[1, 1, 2, 1, 1]",215052
4,"[4, 4, 4, 4, 4]",215053
2,"[3, 2, 2, 3, 2]",215054
3,"[2, 5, 3, 3, 4]",215055
1,"[1, 1, 1, 1, 1]",215056
3,"[3, 2, 4, 3, 3]",215057
1,"[1, 1, 1, 1, 1]",215058
1,"[2, 1, 1, 1, 2]",215059
3,"[3, 3, 3, 3, 3]",215060
2,"[2, 2, 3, 3, 1]",215061
4,"[4, 5, 3, 3, 4]",215062
1,"[1, 1, 1, 1, 1]",215063
1,"[1, 1, 2, 1, 1]",215064
1,"[1, 1, 1, 1, 1]",215065
5,"[5, 6, 3, 5, 4]",215066
2,"[2, 2, 2, 2, 1]",215067
1,"[1, 1, 1, 1, 1]",215068
1,"[1, 1, 1, 1, 1]",215069
1,"[1, 1, 2, 1, 1]",215070
1,"[1, 1, 2, 1, 1]",215071
1,"[1, 1, 1, 1, 1]",215072
1,"[1, 1, 1, 1, 2]",215073
6,"[6, 6, 6, 6, 6]",215074
6,"[7, 6, 6, 7, 6]",215075
1,"[1, 1, 2, 1, 2]",215076
5,"[5, 4, 4, 5, 6]",215077
1,"[1, 1, 1, 1, 1]",215078
1,"[1, 1, 1, 1, 1]",215079
4,"[4, 2, 4, 5, 5]",215080
4,"[4, 4, 4, 3, 4]",215081
3,"[3, 3, 3, 3, 3]",215082
1,"[1, 1, 1, 1, 1]",215083
1,"[1, 1, 1, 1, 1]",215084
5,"[5, 5, 5, 6, 5]",215085
1,"[1, 1, 1, 1, 1]",215086
1,"[1, 1, 1, 1, 1]",215087
3,"[3, 3, 2, 3, 3]",215088
3,"[3, 1, 2, 4, 3]",215089
2,"[2, 2, 1, 1, 2]",215090
1,"[1, 1, 1, 1, 1]",215091
3,"[4, 3, 4, 3, 3]",215092
3,"[3, 3, 2, 3, 2]",215093
6,"[4, 6, 6, 6, 6]",215094
3,"[3, 3, 2, 2, 4]",215095
2,"[1, 3, 1, 1, 2]",215096
2,"[2, 2, 2, 1, 2]",215097
2,"[1, 1, 2, 2, 2]",215098
1,"[1, 1, 1, 1, 1]",215099
3,"[3, 3, 3, 3, 3]",215100
1,"[1, 1, 1, 2, 1]",215101
3,"[3, 4, 3, 2, 3]",215102
3,"[3, 3, 3, 3, 2]",215103
4,"[4, 4, 4, 4, 3]",215104
1,"[1, 1, 1, 2, 2]",215105
5,"[5, 6, 4, 4, 4]",215106
2,"[2, 2, 1, 2, 1]",215107
4,"[4, 4, 5, 4, 4]",215108
6,"[6, 6, 6, 6, 6]",215109
2,"[3, 1, 1, 1, 2]",215110
3,"[2, 2, 2, 3, 4]",215111
6,"[6, 6, 6, 6, 4]",215112
1,"[1, 1, 1, 1, 1]",215113
1,"[1, 2, 1, 1, 1]",215114
2,"[1, 2, 1, 2, 2]",215115
1,"[1, 1, 1, 1, 1]",215116
1,"[1, 1, 1, 2, 1]",215117
4,"[4, 3, 3, 4, 4]",215118
1,"[1, 1, 1, 1, 1]",215119
2,"[3, 2, 2, 3, 1]",215120
1,"[1, 1, 1, 2, 1]",215121
2,"[1, 2, 3, 1, 2]",215122
2,"[2, 1, 2, 2, 1]",215123
1,"[1, 1, 1, 1, 1]",215124
3,"[3, 3, 3, 3, 3]",215125
1,"[1, 1, 1, 1, 1]",215126
1,"[1, 1, 1, 1, 1]",215127
3,"[3, 4, 3, 3, 4]",215128
1,"[1, 1, 1, 1, 2]",215129
1,"[1, 1, 1, 1, 1]",215130
2,"[1, 1, 1, 8, 1]",215131
2,"[3, 2, 3, 2, 2]",215132
1,"[1, 1, 1, 1, 1]",215133
1,"[1, 2, 2, 1, 1]",215134
2,"[2, 2, 3, 2, 2]",215135
3,"[2, 2, 3, 4, 3]",215136
3,"[2, 3, 3, 3, 2]",215137
2,"[2, 3, 2, 1, 3]",215138
2,"[2, 2, 2, 3, 2]",215139
2,"[2, 2, 2, 1, 2]",215140
3,"[3, 4, 3, 3, 4]",215141
1,"[1, 2, 1, 2, 1]",215142
7,"[7, 7, 7, 6, 7]",215143
2,"[2, 2, 2, 3, 2]",215144
1,"[1, 1, 1, 1, 1]",215145
2,"[1, 2, 2, 3, 3]",215146
2,"[3, 2, 2, 2, 3]",215147
4,"[5, 4, 5, 4, 4]",215148
1,"[1, 2, 1, 1, 1]",215149
1,"[1, 1, 1, 1, 1]",215150
1,"[1, 1, 1, 1, 1]",215151
1,"[1, 1, 1, 1, 1]",215152
2,"[1, 3, 2, 2, 1]",215153
1,"[1, 1, 1, 1, 1]",215154
1,"[1, 2, 1, 1, 2]",215155
3,"[2, 4, 3, 4, 3]",215156
1,"[1, 1, 1, 1, 1]",215157
1,"[1, 1, 1, 1, 1]",215158
2,"[2, 2, 1, 1, 2]",215159
4,"[3, 3, 6, 3, 3]",215160
1,"[1, 2, 1, 1, 1]",215161
1,"[1, 1, 1, 1, 1]",215162
1,"[1, 1, 1, 1, 1]",215163
4,"[4, 4, 4, 4, 4]",215164
1,"[1, 1, 1, 1, 1]",215165
1,"[1, 1, 1, 1, 1]",215166
5,"[6, 5, 5, 6, 5]",215167
6,"[6, 6, 6, 6, 6]",215168
2,"[2, 2, 3, 2, 2]",215169
3,"[3, 2, 3, 2, 3]",215170
4,"[5, 4, 4, 5, 3]",215171
1,"[1, 2, 1, 1, 1]",215172
1,"[1, 2, 1, 1, 1]",215173
4,"[3, 2, 4, 4, 5]",215174
1,"[1, 2, 2, 1, 1]",215175
1,"[1, 1, 1, 2, 2]",215176
2,"[2, 2, 3, 2, 2]",215177
1,"[1, 1, 1, 1, 1]",215178
1,"[1, 1, 1, 1, 1]",215179
5,"[4, 4, 6, 5, 4]",215180
1,"[1, 1, 1, 2, 1]",215181
1,"[2, 1, 1, 1, 1]",215182
1,"[2, 1, 1, 1, 1]",215183
4,"[4, 4, 4, 4, 4]",215184
2,"[1, 2, 1, 3, 2]",215185
4,"[5, 5, 4, 4, 4]",215186
1,"[1, 1, 1, 1, 1]",215187
4,"[4, 4, 4, 4, 5]",215188
4,"[3, 4, 4, 4, 4]",215189
3,"[2, 3, 2, 3, 3]",215190
2,"[2, 2, 3, 4, 1]",215191
2,"[2, 1, 1, 3, 1]",215192
6,"[6, 6, 6, 6, 5]",215193
2,"[2, 1, 2, 1, 2]",215194
2,"[1, -1, 3, 1, 3]",215195
1,"[2, 1, 1, 1, 1]",215196
2,"[2, 3, 3, 2, 2]",215197
3,"[3, 3, 3, 3, 3]",215198
3,"[4, 3, 3, 3, 4]",215199
1,"[1, 1, 1, 1, 1]",215200
4,"[4, 3, 6, 3, 2]",215201
1,"[1, 1, 1, 1, 1]",215202
1,"[1, 1, 1, 1, 1]",215203
3,"[3, 4, 4, 3, 3]",215204
1,"[2, 1, 1, 1, 1]",215205
2,"[2, 3, 2, 3, 1]",215206
4,"[4, 4, 3, 4, 3]",215207
1,"[1, 1, 1, 1, 1]",215208
3,"[2, 3, 3, 3, 4]",215209
1,"[1, 1, 2, 2, 1]",215210
3,"[2, 4, 4, 4, 3]",215211
4,"[4, 5, 4, 4, 4]",215212
1,"[1, 2, 1, 1, 1]",215213
2,"[2, 2, 2, 2, 2]",215214
1,"[1, 2, 2, 1, 1]",215215
3,"[2, 4, 4, 4, 2]",215216
1,"[2, 1, 1, 2, 1]",215217
3,"[3, 2, 4, 2, 3]",215218
3,"[3, 4, 3, 2, 4]",215219
5,"[5, 6, 6, 5, 5]",215220
3,"[4, 3, 3, 2, 3]",215221
1,"[1, 1, 1, 1, 1]",215222
2,"[1, 2, 2, 1, 3]",215223
2,"[2, 2, 3, 3, 2]",215224
4,"[4, 4, 3, 4, 4]",215225
5,"[6, 6, 5, 4, 4]",215226
1,"[1, 1, 1, 2, 1]",215227
3,"[3, 4, 3, 3, 3]",215228
3,"[3, 2, 3, 3, 2]",215229
3,"[3, 4, 3, 2, 3]",215230
3,"[3, 3, 3, 4, 3]",215231
3,"[3, 3, 3, 3, 3]",215232
1,"[1, 1, 1, 1, 1]",215233
2,"[2, 3, 3, 2, 2]",215234
1,"[2, 1, 1, 1, 2]",215235
1,"[1, 2, 2, 1, 1]",215236
4,"[4, 4, 3, 4, 3]",215237
1,"[1, 1, 1, 1, 1]",215238
1,"[2, 1, 2, 1, 1]",215239
3,"[3, 3, 3, 1, 3]",215240
1,"[1, 1, 1, 1, 1]",215241
1,"[1, 1, 1, 2, 1]",215242
3,"[3, 3, 3, 3, 3]",215243
4,"[4, 4, 4, 5, 4]",215244
4,"[4, 5, 3, 3, 4]",215245
2,"[3, 3, 2, 1, 1]",215246
3,"[3, 3, 3, 2, 2]",215247
1,"[1, 1, 1, 1, 1]",215248
1,"[1, 2, 1, 1, 1]",215249
1,"[1, 1, 1, 1, 1]",215250
2,"[2, 2, 3, 3, 1]",215251
2,"[1, 2, 1, 2, 2]",215252
2,"[2, 2, 2, 1, 2]",215253
1,"[1, 1, 1, 1, 1]",215254
2,"[-1, -1, 2, 3, -1]",215255
1,"[1, 1, 1, 1, 1]",215256
1,"[1, 1, 1, -1, 2]",215257
3,"[3, 3, 2, 2, 3]",215258
1,"[2, 1, 1, 1, 1]",215259
1,"[1, 1, 1, 1, 1]",215260
3,"[3, 3, 4, 3, 2]",215261
2,"[2, 2, 2, 3, 1]",215262
1,"[2, 1, 1, 1, 1]",215263
2,"[3, 2, 1, 3, 3]",215264
3,"[3, 4, 3, 4, 3]",215265
1,"[1, 1, 1, 1, 1]",215266
1,"[1, 1, 1, 1, 1]",215267
1,"[1, 1, 1, 2, 1]",215268
1,"[1, 1, 1, 1, 1]",215269
1,"[1, 2, 1, 1, 2]",215270
1,"[1, 1, 1, 1, 1]",215271
3,"[3, 3, 3, 2, 2]",215272
1,"[1, 1, 1, 1, 1]",215273
4,"[3, 4, 3, 4, 4]",215274
1,"[1, 1, 1, 2, 1]",215275
1,"[1, 1, 1, 1, 1]",215276
3,"[3, 3, 4, 4, 3]",215277
2,"[2, 2, 2, 1, 2]",215278
1,"[1, 1, 1, 1, 1]",215279
1,"[1, 1, 1, 1, 1]",215280
1,"[1, 1, 1, 1, 1]",215281
1,"[1, 1, 1, 1, 1]",215282
5,"[5, 4, 5, 5, -1]",215283
3,"[3, 3, 2, 2, 3]",215284
2,"[2, 1, 3, 3, 1]",215285
5,"[6, 3, 5, 5, 4]",215286
1,"[1, 1, 1, 1, 1]",215287
2,"[2, 2, 2, 1, 2]",215288
2,"[1, 1, 2, 3, 1]",215289
2,"[1, 2, 2, 3, 1]",215290
3,"[3, 3, 4, 3, 3]",215291
2,"[2, 2, 2, 3, 2]",215292
3,"[3, 3, 3, 3, 4]",215293
3,"[2, 3, 3, 3, 4]",215294
3,"[3, 2, 2, 3, 3]",215295
2,"[1, 3, 2, 3, 2]",215296
5,"[5, 5, 4, 5, 5]",215297
2,"[2, 2, 3, 2, 2]",215298
3,"[3, 4, 3, 3, 2]",215299
2,"[2, 2, 2, 2, 2]",215300
4,"[4, 3, 4, 4, 4]",215301
1,"[1, 2, 2, 1, 1]",215302
3,"[2, 2, 3, 4, 2]",215303
5,"[5, 5, 4, 5, 6]",215304
2,"[2, 2, 3, 3, 2]",215305
1,"[1, 2, 1, 1, 1]",215306
1,"[1, 1, 1, 1, 1]",215307
2,"[2, 1, 2, 2, 2]",215308
2,"[2, 1, 2, 2, 1]",215309
1,"[1, 1, 1, 1, 1]",215310
6,"[6, 6, 6, 6, 6]",215311
1,"[1, 1, 1, 1, 1]",215312
1,"[1, 1, 1, 1, 1]",215313
2,"[2, 3, 1, 1, 1]",215314
1,"[2, 2, 1, 1, 1]",215315
1,"[1, 1, 1, 1, 1]",215316
6,"[6, 6, 5, 7, 6]",215317
3,"[3, 4, 4, 4, 2]",215318
1,"[1, 1, 1, 1, 1]",215319
2,"[2, 1, 1, 3, 1]",215320
2,"[2, 2, 3, 2, 2]",215321
2,"[2, 2, 1, 3, 1]",215322
1,"[1, 1, 1, 1, 1]",215323
3,"[1, 5, 4, 2, 5]",215324
5,"[5, -1, 5, 5, 5]",215325
2,"[2, 1, 2, 1, 3]",215326
2,"[1, 3, 2, 2, 1]",215327
2,"[2, 1, 2, 2, 2]",215328
3,"[3, 3, 3, 3, 4]",215329
1,"[1, 1, 1, 1, 1]",215330
4,"[4, 4, 4, 4, 3]",215331
6,"[6, 6, 6, 7, 6]",215332
1,"[1, 1, 1, 1, 1]",215333
1,"[1, 1, 1, 1, 1]",215334
3,"[4, 2, 3, 2, 3]",215335
1,"[1, 1, 1, 1, 1]",215336
2,"[1, 2, 2, 2, 2]",215337
1,"[1, 1, 1, 1, 1]",215338
4,"[4, 4, 4, 3, 4]",215339
1,"[1, 1, 1, 1, 1]",215340
1,"[1, 1, 1, 1, 1]",215341
2,"[2, 3, 2, 2, 2]",215342
4,"[5, 4, 6, 4, 3]",215343
1,"[2, 1, 1, 1, 1]",215344
2,"[2, 2, 1, 1, 2]",215345
2,"[2, 1, 2, 3, 2]",215346
2,"[3, 1, 2, 2, 1]",215347
6,"[6, 6, 6, 6, 6]",215348
1,"[1, 1, 1, 1, 1]",215349
1,"[1, 1, 1, 1, 1]",215350
1,"[1, 1, 1, 1, 1]",215351
3,"[4, 2, 2, 3, 3]",215352
2,"[2, 1, 2, 1, 2]",215353
1,"[1, 1, 2, 1, 2]",215354
1,"[2, 1, 1, 2, 1]",215355
2,"[3, 1, 2, 2, 2]",215356
2,"[1, 3, 3, 1, 1]",215357
3,"[4, 3, 4, 3, 3]",215358
3,"[4, 3, 2, 3, 3]",215359
1,"[1, 1, 1, 1, 1]",215360
3,"[4, 2, 3, 3, 2]",215361
6,"[6, 6, 5, 6, 6]",215362
3,"[2, 2, 3, 3, 3]",215363
3,"[3, 3, 3, 3, 2]",215364
3,"[3, 4, 4, 2, 3]",215365
1,"[1, 1, 1, 1, 1]",215366
3,"[3, 2, 3, 3, 2]",215367
4,"[4, 4, 5, 4, 4]",215368
2,"[3, 2, 2, 3, 2]",215369
3,"[4, 2, 3, 3, 3]",215370
1,"[1, 1, 1, 1, 1]",215371
5,"[4, 4, 5, 6, 5]",215372
2,"[2, 2, 3, 2, 2]",215373
1,"[1, 1, 1, 1, 2]",215374
6,"[6, 6, 5, 6, 6]",215375
4,"[4, 4, 4, 4, 3]",215376
2,"[2, 1, 2, 3, 2]",215377
1,"[1, 1, 2, 2, 1]",215378
3,"[4, 3, 3, 3, 2]",215379
2,"[2, 2, 2, 1, 4]",215380
1,"[1, 1, 1, 1, 1]",215381
1,"[1, 2, 1, 2, 1]",215382
5,"[4, 4, 4, 6, 5]",215383
3,"[2, 3, 3, 2, 3]",215384
1,"[1, 1, 1, 1, 1]",215385
6,"[6, 6, 6, 6, 6]",215386
4,"[4, 4, 3, 4, 3]",215387
2,"[2, 3, 1, 2, 2]",215388
1,"[2, 1, 1, 1, 1]",215389
1,"[1, 1, 1, 1, 1]",215390
2,"[2, 2, 2, 2, 2]",215391
1,"[1, 1, 1, 1, 1]",215392
3,"[4, 3, 3, 4, 3]",215393
1,"[1, 1, 1, 1, 1]",215394
3,"[3, 4, 3, 3, 3]",215395
1,"[2, 1, 1, 2, 1]",215396
3,"[2, 1, 2, 4, 4]",215397
1,"[1, 1, 2, 1, 1]",215398
1,"[1, 1, 1, 1, 1]",215399
1,"[1, 1, 1, 1, 1]",215400
1,"[2, 2, 1, 1, 1]",215401
2,"[2, 1, 1, 3, 1]",215402
2,"[2, 2, 1, 1, 2]",215403
2,"[2, 3, 2, 4, 1]",215404
4,"[4, 5, 4, 4, 4]",215405
5,"[5, 5, 4, 6, 4]",215406
3,"[3, 3, 2, 3, 3]",215407
4,"[3, 4, 3, 4, 4]",215408
5,"[4, 4, 5, 6, 4]",215409
2,"[2, 2, 2, 3, 2]",215410
2,"[1, 1, 2, 2, 3]",215411
1,"[1, 1, 1, 1, 1]",215412
5,"[6, 4, 4, 4, 6]",215413
1,"[1, 1, 2, 1, 1]",215414
3,"[4, 4, 3, 3, 3]",215415
3,"[3, 3, 4, 4, 3]",215416
1,"[1, 1, 1, 1, 1]",215417
2,"[2, 1, 1, 2, 3]",215418
1,"[1, 1, 1, 1, 1]",215419
1,"[1, -1, 1, 1, 1]",215420
1,"[1, 1, 1, 1, 1]",215421
4,"[5, 4, 3, 4, 4]",215422
2,"[2, 2, 1, 2, 2]",215423
1,"[1, 1, 1, 1, 1]",215424
4,"[6, 4, 4, 4, 4]",215425
3,"[3, 2, 3, 3, 3]",215426
2,"[1, 2, 2, 2, 3]",215427
1,"[1, 1, 1, 1, 1]",215428
1,"[1, 1, 1, 1, 1]",215429
2,"[3, 2, 2, 3, 2]",215430
1,"[1, 1, 1, 1, 1]",215431
1,"[1, 2, 1, 1, 1]",215432
2,"[2, 2, 2, 2, 2]",215433
5,"[6, 5, 5, 4, 6]",215434
3,"[2, 2, 2, 5, 3]",215435
4,"[4, 3, 5, 4, 5]",215436
4,"[4, 4, 4, 4, 4]",215437
1,"[1, 1, 1, 1, 1]",215438
5,"[4, 5, 4, 5, 5]",215439
2,"[1, 2, 1, 2, 2]",215440
1,"[1, 1, 1, 1, 1]",215441
2,"[2, 3, 3, 2, 2]",215442
4,"[4, 4, 4, 4, 5]",215443
4,"[4, 5, 4, 4, 4]",215444
2,"[2, 1, 2, 2, 1]",215445
4,"[4, 4, 3, 3, 4]",215446
1,"[1, 1, 1, 1, 1]",215447
3,"[1, 3, 4, 3, 2]",215448
1,"[1, 1, 1, 1, 1]",215449
1,"[1, 1, 1, 1, 1]",215450
1,"[1, 1, 1, 1, 1]",215451
